Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;82,5;05/2023
Alto Sertão;58,1;05/2023
Brejo;113,3;05/2023
Cariri;58,3;05/2023
Curimataú;61,9;05/2023
Litoral;170,4;05/2023
Sertão;61,0;05/2023
