Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;85,9;03/2021
Alto Sertão;152,2;03/2021
Brejo;85,8;03/2021
Cariri;70,4;03/2021
Curimataú;73,3;03/2021
Litoral;145,8;03/2021
Sertão;141,6;03/2021
