Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;59,0;03/2017
Alto Sertão;165,3;03/2017
Brejo;115,7;03/2017
Cariri;47,3;03/2017
Curimataú;32,4;03/2017
Litoral;195,9;03/2017
Sertão;144,3;03/2017
