Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;25,0;02/2015
Alto Sertão;69,2;02/2015
Brejo;41,9;02/2015
Cariri;43,5;02/2015
Curimataú;32,9;02/2015
Litoral;59,9;02/2015
Sertão;77,7;02/2015
