Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;48,4;08/2021
Alto Sertão;1,8;08/2021
Brejo;66,7;08/2021
Cariri;9,6;08/2021
Curimataú;5,5;08/2021
Litoral;147,2;08/2021
Sertão;0,6;08/2021
