Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;159,6;03/2020
Alto Sertão;378,3;03/2020
Brejo;178,4;03/2020
Cariri;259,7;03/2020
Curimataú;244,6;03/2020
Litoral;225,2;03/2020
Sertão;287,4;03/2020
