Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;6,4;09/1997
Alto Sertão;0,0;09/1997
Brejo;4,1;09/1997
Cariri;2,2;09/1997
Curimataú;0,7;09/1997
Litoral;6,2;09/1997
Sertão;0,0;09/1997
