Região Pluviométrica;Pluviometria observada (mm);Data
Agreste;167,6;05/1997
Alto Sertão;112,7;05/1997
Brejo;230,1;05/1997
Cariri;82,7;05/1997
Curimataú;68,5;05/1997
Litoral;299,8;05/1997
Sertão;69,9;05/1997
